GAGE_ID,SPEI_3_total,SSI_3_total,matched_pairs_3,unique_spei_matched_3,buffered_3_count,ssi_leads_3_count,independent_3_count,buffered_3_pct,spei_matched_3_pct,independent_3_pct,ssi_leads_3_pct,ssi_matched_3_pct,prop_lag_3_mean,prop_lag_3_median,rec_lag_3_mean,rec_lag_3_median,SPEI_6_total,SSI_6_total,matched_pairs_6,unique_spei_matched_6,buffered_6_count,ssi_leads_6_count,independent_6_count,buffered_6_pct,spei_matched_6_pct,independent_6_pct,ssi_leads_6_pct,ssi_matched_6_pct,prop_lag_6_mean,prop_lag_6_median,rec_lag_6_mean,rec_lag_6_median
01011000,22,16,9,9,13,0,7,59.1,40.9,43.8,0,56.3,2.56,2,4.67,6,21,26,12,12,9,0,14,42.9,57.1,53.8,0,46.2,3.83,4,4.67,5
01013500,16,20,6,6,10,0,14,62.5,37.5,70,0,30,2.17,1.5,4.17,4,17,27,10,10,7,0,17,41.2,58.8,63,0,37,3.6,4,3.9,4
01015800,36,25,22,22,14,0,3,38.9,61.1,12,0,88,1.55,1,3.32,3.5,35,27,21,21,14,0,6,40,60,22.2,0,77.8,2.52,2,4.48,5
01017000,22,25,14,14,8,0,11,36.4,63.6,44,0,56,2.57,2,3.71,4,19,25,9,9,10,0,16,52.6,47.4,64,0,36,2.78,3,3.67,4
01019000,15,19,7,7,8,0,12,53.3,46.7,63.2,0,36.8,4.14,4,7.29,6,17,16,6,6,11,0,10,64.7,35.3,62.5,0,37.5,3.83,4,10.83,7
01022500,17,32,12,12,5,0,20,29.4,70.6,62.5,0,37.5,1.92,2,1.75,1,16,25,7,7,9,0,18,56.3,43.8,72,0,28,2.86,3,1.71,2
01030500,21,27,14,14,7,0,13,33.3,66.7,48.1,0,51.9,1.43,1.5,2.29,2,23,21,11,11,12,0,10,52.2,47.8,47.6,0,52.4,2.09,2,3.27,3
01031500,16,26,5,5,11,0,21,68.8,31.3,80.8,0,19.2,1.2,1,0.6,0,15,23,4,4,11,0,19,73.3,26.7,82.6,0,17.4,2.5,2.5,2.25,3
01034500,20,26,10,10,10,0,16,50,50,61.5,0,38.5,1.8,2,2.7,3,19,23,9,9,10,0,14,52.6,47.4,60.9,0,39.1,2.22,3,3,4
01038000,33,33,23,23,10,0,10,30.3,69.7,30.3,0,69.7,0.65,1,2.04,1,30,26,16,16,14,0,10,46.7,53.3,38.5,0,61.5,1.63,2,2.44,2.5
